Filename,x,y,Likelihood
Re_phen_15min_again_3.tif,3,735,0.9021241664886475
Re_phen_15min_again_3.tif,4,701,0.9644746780395508
Re_phen_15min_again_3.tif,5,671,0.9354028701782227
Re_phen_15min_again_3.tif,6,910,0.8133474588394165
Re_phen_15min_again_3.tif,8,551,0.9890984296798706
Re_phen_15min_again_3.tif,12,844,0.9956673383712769
Re_phen_15min_again_3.tif,10,1019,0.9997324347496033
Re_phen_15min_again_3.tif,12,688,0.988787829875946
Re_phen_15min_again_3.tif,14,563,0.946017324924469
Re_phen_15min_again_3.tif,13,904,0.9979981780052185
Re_phen_15min_again_3.tif,21,119,0.9993253946304321
Re_phen_15min_again_3.tif,16,635,0.9992536902427673
Re_phen_15min_again_3.tif,18,807,0.9925149083137512
Re_phen_15min_again_3.tif,29,557,0.9995021820068359
Re_phen_15min_again_3.tif,19,1014,0.7683137059211731
Re_phen_15min_again_3.tif,23,25,0.9971042275428772
Re_phen_15min_again_3.tif,25,644,0.9982730150222778
Re_phen_15min_again_3.tif,25,673,0.9975175857543945
Re_phen_15min_again_3.tif,21,900,0.7111515998840332
Re_phen_15min_again_3.tif,22,113,0.7142587900161743
Re_phen_15min_again_3.tif,27,364,0.773989200592041
Re_phen_15min_again_3.tif,29,806,0.9902660250663757
Re_phen_15min_again_3.tif,36,633,0.9870030283927917
Re_phen_15min_again_3.tif,33,94,0.9729915857315063
Re_phen_15min_again_3.tif,38,899,0.9984789490699768
Re_phen_15min_again_3.tif,39,354,0.9992730021476746
Re_phen_15min_again_3.tif,34,378,0.9988460540771484
Re_phen_15min_again_3.tif,33,748,0.9941036105155945
Re_phen_15min_again_3.tif,32,550,0.7062075138092041
Re_phen_15min_again_3.tif,36,21,0.9948439598083496
Re_phen_15min_again_3.tif,46,531,0.9983521699905396
Re_phen_15min_again_3.tif,43,372,0.7088980674743652
Re_phen_15min_again_3.tif,50,378,0.9986793398857117
Re_phen_15min_again_3.tif,49,991,0.9776105284690857
Re_phen_15min_again_3.tif,48,275,0.7368335127830505
Re_phen_15min_again_3.tif,54,263,0.9983541965484619
Re_phen_15min_again_3.tif,53,112,0.9981285929679871
Re_phen_15min_again_3.tif,72,811,0.9995286464691162
Re_phen_15min_again_3.tif,62,668,0.9986149072647095
Re_phen_15min_again_3.tif,59,10,0.9430525302886963
Re_phen_15min_again_3.tif,61,729,0.9991397857666016
Re_phen_15min_again_3.tif,61,850,0.9992712140083313
Re_phen_15min_again_3.tif,62,874,0.996476948261261
Re_phen_15min_again_3.tif,62,375,0.9992430210113525
Re_phen_15min_again_3.tif,61,359,0.7133863568305969
Re_phen_15min_again_3.tif,62,274,0.7163031697273254
Re_phen_15min_again_3.tif,69,258,0.9941208958625793
Re_phen_15min_again_3.tif,69,358,0.9983792304992676
Re_phen_15min_again_3.tif,66,244,0.7006831169128418
Re_phen_15min_again_3.tif,74,600,0.9933919310569763
Re_phen_15min_again_3.tif,74,623,0.995197594165802
Re_phen_15min_again_3.tif,71,845,0.9748857021331787
Re_phen_15min_again_3.tif,83,251,0.9998906850814819
Re_phen_15min_again_3.tif,76,15,0.9989922642707825
Re_phen_15min_again_3.tif,73,287,0.7084604501724243
Re_phen_15min_again_3.tif,76,577,0.9975200295448303
Re_phen_15min_again_3.tif,80,881,0.9953344464302063
Re_phen_15min_again_3.tif,78,270,0.9992995262145996
Re_phen_15min_again_3.tif,77,865,0.989887535572052
Re_phen_15min_again_3.tif,79,291,0.9992498755455017
Re_phen_15min_again_3.tif,86,917,0.9949777722358704
Re_phen_15min_again_3.tif,81,326,0.9886502027511597
Re_phen_15min_again_3.tif,78,356,0.7279085516929626
Re_phen_15min_again_3.tif,81,1000,0.9801928400993347
Re_phen_15min_again_3.tif,81,258,0.7217468619346619
Re_phen_15min_again_3.tif,81,819,0.7096560001373291
Re_phen_15min_again_3.tif,87,694,0.9855018854141235
Re_phen_15min_again_3.tif,87,962,0.9996945858001709
Re_phen_15min_again_3.tif,85,822,0.7316821217536926
Re_phen_15min_again_3.tif,98,106,0.9998478889465332
Re_phen_15min_again_3.tif,89,270,0.9699440598487854
Re_phen_15min_again_3.tif,87,821,0.7038653492927551
Re_phen_15min_again_3.tif,104,551,0.9999028444290161
Re_phen_15min_again_3.tif,96,562,0.9977363348007202
Re_phen_15min_again_3.tif,101,693,0.9962260723114014
Re_phen_15min_again_3.tif,97,962,0.9958685636520386
Re_phen_15min_again_3.tif,99,634,0.9976669549942017
Re_phen_15min_again_3.tif,98,871,0.9917808175086975
