X,Y
383,3
78,14
259,13
90,22
171,28
320,29
350,42
477,57
509,59
105,65
281,81
428,85
53,93
504,103
187,111
264,110
69,110
5,114
402,120
218,120
203,127
231,134
21,137
360,148
38,160
393,159
242,161
46,177
293,178
134,180
420,180
436,179
324,184
32,188
93,204
435,208
417,229
173,230
42,232
14,243
152,245
439,242
418,249
315,250
41,253
63,261
191,266
446,264
47,268
79,276
363,286
3,277
380,282
345,289
221,307
314,308
509,313
311,332
342,335
143,347
470,349
275,349
184,353
424,369
61,370
471,376
66,392
201,382
348,384
464,388
480,390
475,404
1,407
196,408
53,413
174,414
31,425
47,428
71,424
18,430
318,435
397,440
205,447
236,452
220,452
249,455
306,456
67,463
235,460
219,465
60,470
252,475
124,474
342,479
413,481
240,481
137,496
212,508
247,311
232,306
211,382
218,383
203,391
119,484
114,469
30,429
25,377
25,371
3,307
71,105
371,49
362,55
465,47
433,208
384,332
375,339
497,421
498,425
357,457
424,467
416,464
