X,Y
446,4
115,7
285,26
111,33
35,42
54,42
284,39
496,53
334,61
132,63
260,67
507,66
206,67
193,72
350,79
150,83
337,82
338,94
124,98
295,100
455,98
349,101
111,111
146,110
314,133
64,138
419,139
350,141
10,142
348,145
484,152
312,155
327,155
309,160
494,178
506,183
387,187
507,195
163,203
493,235
227,249
44,255
34,259
172,255
64,263
385,261
296,267
505,273
62,274
91,278
297,277
283,282
386,278
297,292
282,301
468,305
89,316
265,315
153,314
477,321
508,353
68,356
18,402
371,412
301,457
369,467
390,465
127,484
8,486
205,488
207,89
280,8
295,33
435,142
412,147
469,10
343,457
308,440
201,373
34,243
140,500
135,488
196,493
322,507
