X,Y
135,1
395,6
501,10
455,35
302,37
287,54
267,65
253,67
298,68
223,84
262,84
171,100
455,103
2,112
66,116
453,118
154,123
322,120
239,134
423,137
385,147
434,149
134,155
499,183
125,193
181,211
510,214
168,222
181,231
64,238
173,241
302,258
212,259
356,267
368,282
225,289
189,296
18,303
90,311
142,317
156,317
404,324
215,336
181,338
197,341
309,363
299,370
145,371
292,373
428,394
459,391
114,395
485,396
193,411
129,414
334,419
45,432
318,424
342,431
170,430
16,438
422,449
210,453
472,455
508,465
14,468
195,468
323,478
188,486
272,485
312,488
405,499
329,492
301,494
344,496
315,503
337,128
330,141
119,169
114,175
67,179
74,185
71,128
80,110
70,103
54,124
112,278
54,304
108,385
134,388
167,385
175,442
45,423
325,435
331,447
340,479
401,335
358,288
