X,Y
34,2
75,1
272,5
492,2
432,8
507,4
93,10
1,18
206,15
501,19
279,19
154,23
27,25
184,28
277,35
157,39
95,43
411,57
101,54
439,54
270,60
400,60
446,70
120,77
263,79
462,78
389,85
317,102
469,105
382,104
103,125
479,121
369,124
117,132
494,131
33,131
318,153
420,152
245,158
342,158
167,163
504,166
470,175
53,185
407,188
130,195
304,217
129,223
100,235
277,231
259,237
487,244
363,250
430,255
44,255
291,256
306,263
59,269
154,276
266,278
195,290
136,293
41,312
1,312
161,309
442,312
321,311
359,317
90,326
148,324
363,327
44,331
309,332
118,335
232,340
351,346
297,348
73,361
66,375
120,378
456,386
202,396
497,409
70,418
222,414
371,422
51,429
196,429
42,433
309,433
10,437
209,439
508,438
312,441
322,449
233,460
310,458
250,460
168,486
1,489
9,498
454,503
20,245
142,135
311,259
458,186
466,192
459,214
506,8
386,346
378,341
400,337
87,419
104,419
183,343
