X,Y
386,1
154,7
364,39
452,46
300,57
202,72
186,75
210,88
463,106
62,111
395,106
109,112
173,112
6,111
407,112
446,118
419,120
251,125
95,131
438,129
131,134
178,134
197,132
276,140
12,145
161,149
295,157
301,179
378,183
391,177
3,186
279,182
99,198
447,197
118,202
144,206
277,202
229,219
440,220
138,223
26,233
260,228
274,241
256,243
97,249
171,258
73,269
185,269
427,283
237,296
251,299
419,305
509,296
1,308
46,305
64,312
125,316
394,326
453,330
248,331
478,331
58,347
108,344
250,343
312,344
245,358
123,348
143,354
25,357
51,358
184,374
339,373
201,373
234,384
480,391
496,400
439,405
409,407
464,405
137,411
467,418
488,413
17,442
31,442
495,442
356,447
474,455
428,458
229,461
120,476
509,469
241,471
503,493
400,492
455,497
499,501
221,100
205,365
191,355
182,408
73,468
57,467
68,476
445,85
340,258
