X,Y
25,1
301,2
87,5
493,13
11,13
226,15
400,17
31,19
136,31
149,32
255,30
135,43
275,46
497,46
39,49
510,55
128,61
168,70
199,75
408,87
299,105
310,104
243,132
200,160
402,163
209,164
191,169
347,171
463,172
344,194
195,203
170,209
276,231
46,251
328,252
370,251
326,260
54,270
243,278
446,272
509,274
340,276
228,279
437,280
458,286
8,285
330,292
260,297
484,295
263,304
458,305
138,307
151,307
23,314
136,317
259,319
460,320
270,321
38,341
57,335
337,340
36,351
319,354
503,357
49,367
125,369
38,377
510,377
496,381
133,387
47,394
38,412
126,411
156,417
142,426
147,445
126,454
238,468
34,483
261,489
25,492
42,491
171,493
208,491
146,493
194,501
145,507
199,187
135,50
142,49
446,287
306,445
39,384
