X,Y
57,7
113,2
154,9
79,14
473,17
81,27
479,34
371,41
502,45
141,44
330,52
275,77
430,90
405,107
501,109
121,112
485,119
383,121
378,130
79,135
234,137
361,148
425,148
439,148
56,152
373,154
174,163
349,164
453,164
500,175
118,173
33,176
132,189
492,190
353,196
225,209
433,217
355,223
197,242
221,240
501,241
136,248
417,255
7,277
507,278
154,279
492,285
126,288
12,292
469,301
439,309
206,314
251,321
490,329
449,333
107,355
285,344
6,357
199,361
102,367
388,382
24,392
258,388
9,404
38,417
10,426
400,440
327,441
222,449
261,451
243,456
303,463
418,469
1,468
436,473
454,481
7,489
3,507
414,505
307,157
143,201
134,211
149,357
48,412
248,454
231,448
205,430
4,44
