X,Y
261,1
296,2
278,3
106,27
140,31
509,31
260,39
391,43
271,43
377,51
238,99
61,97
330,101
369,102
248,109
333,114
232,121
320,126
36,136
175,138
377,140
24,144
182,149
445,150
277,153
75,190
76,204
289,208
372,208
199,214
247,222
264,217
2,219
510,221
57,238
59,252
425,255
410,268
510,285
422,295
18,302
358,304
153,307
211,310
229,317
162,320
177,323
80,326
235,330
371,332
470,339
489,351
358,356
17,359
43,368
29,370
320,385
23,389
6,391
478,394
374,404
509,404
306,407
158,417
235,431
116,436
281,444
397,446
247,448
264,447
413,448
294,449
276,454
303,465
318,466
118,482
1,484
76,495
19,496
92,507
213,506
358,115
461,161
475,162
393,263
256,279
240,274
