 ,X,Y
1,30,31
2,27,10
3,35,16
4,57,57
5,71,60
6,101,26
7,250,36
8,259,37
9,271,38
10,267,22
11,291,0
12,306,4
13,321,3
14,294,52
15,302,62
16,286,78
17,252,83
18,220,103
19,275,121
20,285,121
21,275,136
22,183,148
23,172,141
24,124,153
25,33,97
26,28,91
27,12,130
28,5,122
29,5,108
30,6,143
31,44,208
32,13,231
33,69,269
34,68,282
35,104,309
36,118,322
37,126,331
38,48,322
39,61,323
40,31,330
41,8,339
42,6,328
43,14,426
44,29,421
45,50,504
46,106,505
47,107,495
48,138,458
49,146,440
50,122,399
51,145,410
52,150,391
53,166,394
54,135,358
55,198,419
56,195,429
57,175,479
58,190,496
59,201,509
60,215,503
61,221,500
62,237,494
63,237,473
64,237,454
65,247,460
66,269,468
67,282,467
68,295,505
69,324,445
70,337,444
71,340,463
72,349,464
73,362,459
74,356,449
75,365,468
76,381,446
77,358,508
78,429,503
79,438,497
80,462,430
81,411,421
82,411,413
83,425,406
84,488,384
85,480,377
86,505,355
87,469,295
88,457,296
89,486,230
90,430,278
91,403,315
92,387,280
93,372,356
94,407,372
95,367,385
96,340,406
97,331,401
98,298,389
99,280,398
100,277,345
101,278,359
102,272,365
103,266,343
104,261,343
105,204,319
106,198,331
107,187,309
108,195,286
109,192,269
110,134,230
111,137,191
112,143,168
113,125,178
114,110,183
115,182,202
116,191,214
117,237,239
118,232,255
119,237,276
120,243,222
121,250,221
122,290,261
123,329,215
124,329,174
125,341,181
126,404,116
127,394,110
128,394,124
129,379,99
130,382,91
131,445,162
132,432,125
133,443,127
134,454,113
135,432,80
136,428,59
137,405,44
138,455,15
139,468,17
140,474,69
141,480,59
142,486,40
143,493,51
144,501,55
145,494,75
146,502,89
