 ,X,Y
1,100,5
2,124,29
3,140,34
4,150,35
5,146,19
6,151,18
7,163,18
8,226,24
9,195,67
10,183,83
11,89,100
12,99,100
13,101,159
14,96,209
15,65,194
16,140,154
17,147,158
18,201,105
19,212,104
20,222,91
21,234,96
22,243,113
23,228,113
24,228,131
25,302,48
26,328,41
27,359,16
28,416,64
29,352,83
30,350,162
31,322,182
32,333,189
33,343,171
34,342,184
35,365,173
36,331,210
37,340,224
38,340,242
39,323,228
40,398,223
41,407,140
42,465,156
43,475,137
44,480,149
45,490,136
46,487,123
47,496,169
48,487,177
49,479,187
50,491,197
51,488,71
52,477,267
53,465,277
54,444,270
55,458,251
56,439,245
57,449,241
58,464,306
59,474,295
60,488,307
61,504,297
62,504,303
63,506,326
64,479,365
65,472,393
66,479,383
67,490,393
68,496,391
69,498,383
70,493,371
71,499,445
72,505,476
73,493,483
74,433,439
75,403,424
76,433,477
77,426,491
78,418,480
79,407,472
80,433,320
81,411,320
82,408,333
83,398,336
84,420,292
85,414,285
86,403,277
87,358,464
88,358,450
89,337,457
90,318,504
91,300,507
92,275,510
93,267,506
94,267,485
95,250,498
96,233,502
97,216,507
98,187,490
99,177,483
100,168,472
101,182,467
102,156,453
103,193,460
104,209,458
105,221,419
106,218,410
107,243,427
108,251,445
109,249,403
110,258,396
111,266,393
112,288,390
113,321,416
114,322,426
115,290,341
116,285,315
117,245,337
118,257,279
119,255,262
120,240,250
121,237,276
122,205,311
123,192,318
124,177,326
125,168,319
126,168,311
127,156,386
128,152,308
129,126,346
130,102,367
131,90,341
132,58,284
133,66,270
134,43,233
135,96,417
136,99,484
137,94,472
138,68,480
139,59,476
140,45,475
141,43,436
142,28,434
143,32,416
144,12,423
145,9,432
