X,Y
17,2
229,7
471,18
254,17
275,14
265,27
486,28
154,31
282,34
214,35
270,41
147,47
35,59
135,60
343,62
42,61
436,64
34,83
327,75
426,82
64,83
130,93
432,96
345,102
280,107
213,117
116,122
447,131
129,138
142,140
448,151
460,148
499,156
130,158
445,174
250,185
65,187
207,187
219,190
10,198
278,205
209,204
136,205
292,240
157,241
198,242
217,260
245,259
270,256
379,270
363,266
353,280
370,284
18,286
324,285
40,304
497,308
137,310
486,316
124,317
435,316
143,328
102,332
339,335
118,337
463,335
421,347
111,349
443,353
195,366
362,380
225,392
374,396
463,404
267,408
371,410
295,420
332,428
81,431
54,437
331,443
296,450
16,451
286,465
116,459
66,458
451,465
168,471
183,476
255,473
97,486
493,490
61,494
147,497
76,501
509,502
492,504
21,503
133,503
375,503
14,84
20,96
34,90
128,134
140,127
139,136
127,145
137,154
144,165
154,154
241,153
255,162
203,222
189,448
218,450
293,460
277,447
282,470
455,494
455,353
449,359
407,245
