X,Y
462,18
36,37
1,45
394,45
456,55
274,59
379,60
448,93
244,91
44,95
23,101
351,104
31,116
59,147
324,150
84,151
243,151
448,156
469,159
249,166
232,168
276,190
137,189
29,200
471,205
416,218
181,226
486,233
265,236
257,249
142,265
110,269
333,271
345,271
160,277
357,283
35,288
90,289
15,300
167,298
90,306
221,310
230,319
296,332
506,331
375,333
3,335
494,336
459,339
155,343
490,350
507,344
450,352
307,360
321,394
52,389
52,402
113,410
27,411
305,414
159,412
214,422
293,424
506,425
10,427
61,429
398,429
40,431
224,434
79,436
385,438
103,439
248,438
450,440
469,487
236,495
270,491
362,499
321,505
369,507
203,353
52,408
308,450
255,405
198,412
123,378
32,223
52,217
46,152
182,29
481,79
364,166
63,505
