X,Y
2,5
150,2
353,2
471,3
123,18
182,33
375,42
190,44
35,54
267,56
289,66
70,72
203,75
163,73
283,78
121,86
164,85
101,85
310,91
458,90
510,102
121,109
193,109
353,111
370,110
265,128
51,132
479,158
29,158
453,161
404,163
43,172
223,175
19,195
510,203
168,203
25,206
398,204
135,211
17,230
353,230
201,240
116,240
218,252
101,249
302,252
16,261
503,264
256,269
78,278
501,279
440,286
503,297
432,295
437,303
162,312
246,313
428,326
311,340
330,344
182,349
22,358
320,357
88,365
378,368
60,372
105,383
278,381
304,406
207,403
502,413
2,409
3,419
281,424
497,436
455,443
279,446
268,446
230,458
308,458
216,475
146,478
370,478
454,483
166,482
375,490
227,494
384,211
367,212
421,274
235,440
226,429
77,507
20,506
24,350
166,331
207,16
93,275
93,258
188,76
147,66
82,32
429,58
74,481
