 ,X,Y
1,37,114
2,27,119
3,48,122
4,59,115
5,15,138
6,21,223
7,30,221
8,29,235
9,42,239
10,24,339
11,12,340
12,77,385
13,77,442
14,82,432
15,90,452
16,100,465
17,149,508
18,146,401
19,155,416
20,164,417
21,166,408
22,230,452
23,235,452
24,239,456
25,233,470
26,247,474
27,250,461
28,267,464
29,290,463
30,332,433
31,316,386
32,300,358
33,288,365
34,317,335
35,303,301
36,330,290
37,289,245
38,235,256
39,224,270
40,230,248
41,231,237
42,216,240
43,209,250
44,204,227
45,164,281
46,152,293
47,136,274
48,120,288
49,135,258
50,128,190
51,133,184
52,124,167
53,97,193
54,146,104
55,159,105
56,176,120
57,188,122
58,199,132
59,205,125
60,113,58
61,162,7
62,199,48
63,214,50
64,212,59
65,221,61
66,227,76
67,248,73
68,255,52
69,288,55
70,278,36
71,288,44
72,288,34
73,293,2
74,328,16
75,286,102
76,302,129
77,302,118
78,300,159
79,290,165
80,280,157
81,365,121
82,352,197
83,355,189
84,358,180
85,349,175
86,401,131
87,408,122
88,421,134
89,422,125
90,454,88
91,421,56
92,394,39
93,372,58
94,446,26
95,389,323
96,396,320
97,442,257
98,462,222
99,465,265
100,473,294
101,447,393
102,440,388
103,418,379
104,412,381
105,389,387
106,384,400
107,387,444
108,390,436
109,395,450
110,409,432
111,429,436
112,474,472
113,510,354
