X,Y
492,3
413,7
430,11
8,14
70,18
498,20
317,26
503,31
55,31
91,32
384,36
179,33
160,37
458,38
258,46
58,50
439,51
142,64
360,63
445,67
366,78
130,78
430,80
208,82
373,108
40,118
151,114
138,117
483,116
149,124
207,130
32,144
452,172
502,172
91,171
281,179
293,181
132,181
362,183
507,200
464,203
442,218
194,218
117,221
256,220
10,221
25,228
286,233
319,239
443,241
272,239
245,245
306,248
281,251
290,259
421,264
404,268
209,273
259,277
156,284
249,291
12,302
276,299
235,311
471,311
452,317
392,326
377,320
176,325
490,325
193,330
370,331
356,333
276,343
55,345
326,349
483,344
40,348
241,348
297,357
239,367
145,387
460,389
84,395
410,400
110,405
208,409
96,410
330,412
163,412
339,422
158,427
99,431
468,438
485,452
455,455
215,465
231,466
276,473
188,473
218,479
370,481
220,500
1,508
49,510
183,54
188,62
116,260
101,269
103,270
40,189
18,437
7,439
352,246
339,248
435,312
394,500
368,506
