X,Y
465,3
124,15
100,14
196,18
63,22
451,23
96,29
116,34
183,27
206,33
223,29
238,33
447,42
350,44
431,57
184,59
416,61
64,66
97,68
412,72
446,73
76,79
48,87
92,81
289,85
33,89
210,91
124,94
500,115
215,122
37,118
307,125
441,154
211,174
104,172
473,198
107,199
126,194
283,205
65,206
1,216
297,221
488,212
476,225
52,229
424,228
380,244
83,234
389,234
362,242
200,247
457,248
410,254
467,259
16,274
158,305
315,313
172,316
249,319
211,323
36,323
48,336
328,336
220,338
463,344
80,360
352,368
346,387
73,386
22,389
480,387
37,392
169,397
338,399
280,409
1,415
507,416
119,423
290,432
333,429
350,433
114,438
129,439
358,445
201,459
148,451
229,454
70,457
328,456
408,459
386,463
214,475
491,500
235,492
446,492
476,495
210,499
493,60
499,71
425,199
364,272
470,410
450,409
464,424
392,453
414,465
406,466
55,486
5,409
61,383
364,509
