X,Y
468,1
476,2
272,12
1,17
343,24
355,30
255,43
145,52
375,60
186,64
145,68
491,69
319,80
24,77
363,82
504,85
92,87
490,93
218,98
333,106
135,119
452,130
54,138
250,141
268,159
300,187
2,195
108,196
18,203
186,214
1,216
428,221
273,240
391,241
340,258
416,255
396,258
382,270
350,292
497,297
17,302
487,304
353,306
499,314
27,315
482,316
22,331
188,336
468,340
59,340
208,343
20,354
182,354
201,367
184,375
508,374
278,380
359,376
491,383
466,390
133,438
201,436
289,443
340,449
277,460
381,459
301,476
48,480
509,487
447,504
463,506
201,53
202,44
185,38
67,85
77,89
64,99
94,90
307,217
62,243
8,218
50,409
339,438
409,472
476,394
365,252
