X,Y
250,15
184,21
14,27
500,29
244,36
388,43
2,54
397,53
418,55
155,58
346,67
131,77
343,79
141,91
272,92
284,104
477,110
124,114
435,124
256,127
351,133
105,133
47,141
353,153
362,157
276,168
383,178
435,188
188,195
421,194
435,202
297,204
466,203
26,207
397,207
83,229
207,230
468,232
310,238
186,242
329,242
275,245
504,251
179,259
86,269
72,275
361,289
457,290
484,289
70,292
73,306
292,305
305,306
1,311
451,316
108,328
197,336
299,337
211,342
293,354
107,365
386,370
150,382
162,387
496,403
43,403
291,427
366,435
165,440
201,449
484,450
392,454
405,457
73,462
131,463
403,470
418,471
205,310
198,314
125,150
59,59
46,58
38,50
504,317
291,411
305,382
75,460
