X,Y
47,1
147,4
345,4
379,1
57,9
182,9
337,11
79,24
370,18
467,45
298,41
4,55
408,57
274,61
166,69
405,77
199,77
439,102
339,94
31,131
309,124
108,131
374,135
174,132
322,136
14,142
509,162
483,157
60,161
109,161
340,172
68,178
427,188
363,188
328,198
159,214
396,225
91,226
167,232
338,226
72,243
289,236
53,236
343,243
92,244
190,250
313,252
474,256
355,276
221,275
410,280
227,291
198,292
289,296
223,302
279,324
113,333
167,337
247,355
472,363
128,369
155,367
147,379
345,401
103,409
335,409
490,417
345,418
484,426
16,427
325,429
184,433
352,434
318,436
468,434
447,439
4,452
17,458
66,455
180,457
195,457
499,458
268,462
454,465
503,473
88,479
372,489
425,491
351,499
6,502
55,304
52,296
124,271
112,262
112,247
87,259
28,343
28,357
307,461
397,429
410,414
286,378
317,353
251,395
398,240
488,152
462,81
416,92
291,50
402,322
473,506
